"Date_D","Avg_Day_PM2.5","Avg_Day_DEWP","Avg_Day_TEMP","Avg_Day_PRES","Max_Day_LWS","Max_Day_LS","Max_Day_LR","Max_Day_CBWD","Year","Month","Day"
2010-01-01,NA,-18.75,-6.75,1017.08333333333,43.82,0,0,"NW",2010,1,1
2010-01-06,56.4166666666667,-23.7083333333333,-12.5416666666667,1033.75,59,0,0,"NE",2010,1,6
2010-01-11,20,-20.7083333333333,-8.70833333333333,1034.33333333333,93.43,0,0,"NW",2010,1,11
2010-01-16,177.625,-13.5,-8.41666666666667,1033.04166666667,9.84,0,0,"NW",2010,1,16
2010-01-21,27.0416666666667,-21.1666666666667,-6.125,1036.375,160.9,0,0,"NW",2010,1,21
2010-01-26,195.583333333333,-15.375,-5.66666666666667,1024.70833333333,8.5,0,0,"NW",2010,1,26
2010-01-31,39.25,-15.7916666666667,1.33333333333333,1024.20833333333,145.69,0,0,"NW",2010,1,31
2010-02-05,78.4583333333333,-14.3333333333333,-4.08333333333333,1029.83333333333,13.41,0,0,"SE",2010,2,5
2010-02-10,12.4166666666667,-22.2916666666667,-1.58333333333333,1030.95833333333,83.14,0,0,"NE",2010,2,10
2010-02-15,30,-22.2916666666667,-5.54166666666667,1035.125,18.78,0,0,"NW",2010,2,15
2010-02-20,178.5,-10.2916666666667,0.875,1012.70833333333,14.76,0,0,"SE",2010,2,20
2010-02-25,169.625,-1.33333333333333,3.91666666666667,1015.625,63.48,0,0,"SE",2010,2,25
2010-03-02,90.0833333333333,-8.45833333333333,1.625,1021.16666666667,82.27,0,0,"SE",2010,3,2
2010-03-07,87.25,-10.25,-2.45833333333333,1035.25,39.35,1,0,"SE",2010,3,7
2010-03-12,49.2083333333333,-14.2916666666667,5.54166666666667,1017.41666666667,88.51,0,0,"NW",2010,3,12
2010-03-17,40.7916666666667,-12.8333333333333,3,1026.33333333333,58.56,0,0,"NE",2010,3,17
2010-03-22,162.95652173913,-8,8.625,1014.04166666667,110.39,0,0,"NW",2010,3,22
2010-03-27,72.3333333333333,-8.54166666666667,5.875,1025.25,39.33,0,0,"SE",2010,3,27
2010-04-01,28.0454545454545,-16.6666666666667,8.66666666666667,1020.125,213.21,0,0,"NW",2010,4,1
2010-04-06,20.375,-12.2916666666667,10.5,1025.33333333333,62.13,0,0,"NW",2010,4,6
2010-04-11,68.75,0.25,6.25,1017,104.14,0,6,"SE",2010,4,11
